Book ID,Title,Author,Publication Date
98,A Prayer for Owen Meany,John Irving,1989
99,A Room of One's Own,Virginia Woolf,1929
100,A Streetcar Named Desire,Tennessee Williams,1947
101,A Thousand Splendid Suns,Khaled Hosseini,2007
102,A Wrinkle in Time,Madeleine L'Engle,1962
103,All Quiet on the Western Front,Erich Maria Remarque,1929
104,American Gods,Neil Gaiman,2001
105,And Then There Were None,Agatha Christie,1939
106,Anne of Green Gables,L.M. Montgomery,1908
107,Atlas Shrugged,Ayn Rand,1957
108,Brideshead Revisited,Evelyn Waugh,1945
109,Charlotte's Web,E.B. White,1952
110,Cloud Atlas,David Mitchell,2004
111,Cold Mountain,Charles Frazier,1997
112,Dune,Frank Herbert,1965
113,East of Eden,John Steinbeck,1952
114,Fight Club,Chuck Palahniuk,1996
115,For Whom the Bell Tolls,Ernest Hemingway,1940
116,Foundation,Isaac Asimov,1951
117,Good Omens,Terry Pratchett and Neil Gaiman,1990
118,Gravity's Rainbow,Thomas Pynchon,1973
119,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999
120,His Dark Materials,Philip Pullman,1995
121,I Know Why the Caged Bird Sings,Maya Angelou,1969
122,Infinite Jest,David Foster Wallace,1996
123,Invisible Man,Ralph Ellison,1952
124,It,Stephen King,1986
125,Jonathan Strange & Mr Norrell,Susanna Clarke,2004
126,Jurassic Park,Michael Crichton,1990
127,Leaves of Grass,Walt Whitman,1855
128,Life of Pi,Yann Martel,2001
129,Little House on the Prairie,Laura Ingalls Wilder,1935
130,Love in the Time of Cholera,Gabriel Garc�a M�rquez,1985
131,Macbeth,William Shakespeare,1623
132,Middlemarch,George Eliot,1871
133,Midnight's Children,Salman Rushdie,1981
134,Mrs Dalloway,Virginia Woolf,1925
135,Native Son,Richard Wright,1940
136,Never Let Me Go,Kazuo Ishiguro,2005
137,On the Road,Jack Kerouac,1957
138,One Flew Over the Cuckoo's Nest,Ken Kesey,1962
139,Paradise Lost,John Milton,1667
140,Perfume: The Story of a Murderer,Patrick S�skind,1985
141,Peter Pan,J.M. Barrie,1911
142,Rebecca,Daphne du Maurier,1938
143,Sense and Sensibility,Jane Austen,1811
144,Slaughterhouse-Five,Kurt Vonnegut,1969
145,The Bell Jar,Sylvia Plath,1963
146,The Book Thief,Markus Zusak,2005
